"ring_no","sex","year","parent","totaloff","totalmates","epy","category","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 44478","male","2005","CM05_065",5,1,0,"cat3","tag","black coucal","feeding",95,38.1,38.87,99.07871862,152
"GN 44480","male","2005","CM05_066",3,1,0,"cat3","tag","black coucal","feeding",NA,38.9,38.87,NA,161
"GN 44491","male","2005","CM05_083",4,1,0,"cat3","tag","black coucal","feeding",91,37.2,38.87,99.79546945,162
"GN 44493","male","2005","CM05_084",1,1,0,"cat3","tag","black coucal","feeding",110,40.6,38.87,100.382877,158
"GN 52326","female","2008","CW13_106",3,1,0,"nocat","tag","black coucal","egg_incub_feed",176,42.6,42.48,174.5483712,183
"GN 52327","female","2008","CW13_107",5,2,0,"nocat","tag","black coucal","egg_incub_feed",183,44,42.48,165.0531234,173
"GN 52328","female","2008","CW13_108",4,1,0,"nocat","tag","black coucal","mating",166,42,42.48,171.6318513,194
"GN 52329","female","2008","CW13_109",2,2,0,"nocat","tag","black coucal","mating",183,41,42.48,203.0801157,178
"GN 52337","female","2008","CW13_117",6,4,0,"nocat","tag","black coucal","egg_incub_feed",177,42.6,42.48,175.5401233,191
"GN 52339","male","2008","CW13_119",2,1,0,"cat3","tag","black coucal","egg-lay_incub",NA,NA,38.87,NA,NA
"GN 52340","male","2008","CW13_120",3,1,0,"cat3","tag","black coucal","egg-lay_incub",120,41.3,38.87,105.6453381,165
"GN 52341","female","2008","CW13_121",2,1,0,"nocat","tag","black coucal","mating",162,42.5,42.48,161.7762751,161
"GN 52343","male","2008","CW13_123",3,1,0,"cat3","tag","black coucal","feeding",98,38.7,38.87,98.90664901,156
"GN 52344","male","2008","CW13_124",3,1,0,"cat3","tag","black coucal","feeding",100,41,38.87,89.39665459,166
"GN 52345","male","2008","CW13_125",1,1,0,"cat3","tag","black coucal","feeding",109,39.2,38.87,107.08105,161
