"ring_no","sex","year","lab_id","no_off","no_mates","random_factor","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 56915","male","2013","CW13_599",4,1,140,"tag","white-browed coucal","mating",131,40.8,41.07,133.9966073,210
"GN 56919","female","2013","CW13_603",7,1,27,"tag","white-browed coucal","egg_incub_feed",158,43.6,42.34,151.0056738,216
"GN 56931","female","2014","CW14_030",11,1,39,"tag","white-browed coucal","egg_incub_feed",146,42.3,42.34,146.2132217,216
"GN 56932","male","2013","CW13_608",5,1,143,"tag","white-browed coucal","mating",146,40.6,41.07,151.8774486,202
"GN 56932","male","2014","CW13_608",11,1,144,"tag","white-browed coucal","feeding",146,40.4,41.07,154.4711433,209
"GN 56941","female","2013","CW13_613",4,1,33,"tag","white-browed coucal","egg_incub_feed",138,42,42.34,139.7286619,220
"GN 56948","male","2013","CW13_614",4,1,146,"tag","white-browed coucal","feeding",119,40,41.07,130.2745127,203
"GN 56949","female","2013","CW13_615",4,1,34,"tag","white-browed coucal","egg_incub_feed",148,41.4,42.34,153.22037,209
"GN 56951","male","2014","CW14_026",3,1,148,"tag","white-browed coucal","feeding",125,41.5,41.07,120.6144374,195
"GN 56954","female","2013","CW13_616",7,1,36,"tag","white-browed coucal","egg_incub_feed",152,43.3,42.34,146.8282404,219
"GN 76623","female","2014","CW14_027",4,1,38,"tag","white-browed coucal","egg_incub_feed",158,43.5,42.34,151.5419922,213
"GN 76658","female","2016","CW16_239",3,1,48,"tag","white-browed coucal","egg_incub_feed",174,41.6,42.34,178.8020377,210
"GN 76706","female","2015","CW15_046",6,2,40,"tag","white-browed coucal","egg_incub_feed",185,42.7,42.34,182.5973235,207
"GN 76706","female","2016","CW15_046",9,1,41,"tag","white-browed coucal","egg_incub_feed",168,41.7,42.34,171.997657,203
"GN 76707","male","2015","CW15_047",7,1,152,"tag","white-browed coucal",NA,141,39.6,41.07,159.7712107,211
"GN 76708","female","2015","CW15_048",2,1,42,"tag","white-browed coucal","egg_incub_feed",160,42.5,42.34,159.07092,202
"GN 76709","male","2015","CW15_049",4,1,153,"tag","white-browed coucal","feeding",134,40,41.07,146.6956697,187
"GN 76718","male","2016","CW15_050",6,1,154,"tag","white-browed coucal","feeding",136,41,41.07,136.7978494,186
"GN 76721","male","2015","CW15_051",2,1,156,"tag","white-browed coucal","egg-lay_incub",140,43,41.07,119.602679,205
"GN 76745","male","2015","CW15_052",7,1,157,"tag","white-browed coucal","feeding",137,41.2,41.07,135.5233784,209
"GN 76746","female","2015","CW15_053",7,1,43,"tag","white-browed coucal","egg_incub_feed",147,42.7,42.34,145.0908463,211
"GN 76746","female","2016","CW15_053",6,2,44,"tag","white-browed coucal","egg_incub_feed",155,42.6,42.34,153.5417886,212
"GN 76753","male","2015","CW15_054",4,1,158,"tag","white-browed coucal","egg_incub_feed",137,42.4,42.34,136.7007832,206
"GN 76796","male","2015","CW15_056",1,1,160,"tag","white-browed coucal","egg-lay_incub",135,40,41.07,147.7904135,187
"GN 76803","female","2015","CW15_059",7,1,45,"tag","white-browed coucal","egg_incub_feed",159,42.1,42.34,160.4016703,205
"GN 76817","female","2016","CW16_238",10,2,47,"tag","white-browed coucal","egg_incub_feed",162,43.2,42.34,157.0476447,215
"GN 76818","male","2016","CW16_240",12,1,162,"tag","white-browed coucal","egg-lay_incub",141,41,41.07,141.8271821,209
"GN 76822","male","2016","CW16_241",1,1,164,"tag","white-browed coucal","egg-lay_incub",140,42.5,41.07,124.4969181,201
"GN 76823","male","2016","CW16_242",3,1,165,"tag","white-browed coucal","egg-lay_incub",163,41.5,41.07,157.2812264,205
"GN 76823","male","2017","CW16_242",4,1,166,"tag","white-browed coucal","feeding",154,42.2,41.07,140.3138472,203
"GN 76826","male","2016","CW16_243",8,1,169,"tag","white-browed coucal","feeding",130,38.9,41.07,156.5966169,208
"GN 76826","male","2017","CW16_243",2,1,170,"tag","white-browed coucal","mating",131,39.4,41.07,151.0396453,206
"GN 76830","female","2016","CW16_244",8,1,49,"tag","white-browed coucal","egg_incub_feed",170,42.2,42.34,170.8715721,214
"GN 76841","male","2016","CW16_246",13,1,171,"tag","white-browed coucal","egg-lay_incub",140,42.5,41.07,124.4969181,212
"GN 76842","female","2016","CW16_247",10,1,51,"tag","white-browed coucal","mating",158,41.3,42.34,164.1850181,209
"GN 76844","male","2016","CW16_248",4,1,172,"tag","white-browed coucal","feeding",122,39.6,41.07,138.2417568,192
"GN 76845","male","2016","CW16_249",10,1,173,"tag","white-browed coucal","feeding",134,40.1,41.07,145.4450518,215
"GN 76847","male","2016","CW16_250",9,1,174,"tag","white-browed coucal","egg-lay_incub",119,39,41.07,142.0897107,197
"GN 76848","female","2016","CW16_251",1,1,52,"tag","white-browed coucal","egg_incub_feed",148,42.6,42.34,146.6076433,212
"GN 76849","male","2016","CW16_252",1,1,175,"tag","white-browed coucal","egg-lay_incub",132,39.3,41.07,153.524638,198
"GN 76856","male","2016","CW16_253",6,1,176,"tag","white-browed coucal","feeding",120,39,41.07,143.2837419,207
"GN 76857","female","2016","CW16_254",6,1,53,"tag","white-browed coucal","egg_incub_feed",158,41.7,42.34,161.7597013,218
"GN 76875","female","2016","CW16_255",12,1,54,"tag","white-browed coucal","egg_incub_feed",151,41.9,42.34,153.4552722,224
"GN 76879","male","2016","CW16_256",7,1,178,"tag","white-browed coucal","feeding",128,39.8,41.07,142.556532,194
"GN 76908","female","2016","CW16_257",3,1,56,"tag","white-browed coucal","egg_incub_feed",157,43.1,42.34,152.7460771,208
"GN 76919","male","2016","CW16_259",4,1,179,"tag","white-browed coucal","feeding",140,41.8,41.07,131.7925228,207
"GN 76934","male","2016","CW16_261",4,1,181,"tag","white-browed coucal","feeding",140,41.2,41.07,138.4910436,189
"GN 76982","female","2017","CW17_067",3,1,62,"tag","white-browed coucal","egg_incub_feed",169,44.7,42.34,155.4229712,218
"GN 90552","male","2018","CW18_063",2,1,182,"tag","white-browed coucal","mating",114,39.8,41.07,126.9644113,200
"GN 90594","male","2019","CW19_001",1,1,183,"tag","white-browed coucal","singing",143,42.2,41.07,130.2914296,203
"GN 90595","female","2019","CW19_002",6,2,64,"tag","white-browed coucal","singing",198,43,42.34,193.3273121,207
"GN 90596","male","2019","CW19_003",5,1,184,"tag","white-browed coucal",NA,150,41.4,41.07,145.9396483,202
"GN 90598","female","2019","CW19_005",3,1,65,"tag","white-browed coucal",NA,189,43.5,42.34,181.2749147,208
"GN 90599","female","2019","CW19_006",1,1,66,"tag","white-browed coucal",NA,161,42.7,42.34,158.9090221,201
"GN 90600","male","2019","CW19_007",1,1,185,"tag","white-browed coucal",NA,130,38.8,41.07,157.984897,201
"GN 90607","male","2019","CW19_014",3,1,186,"tag","white-browed coucal",NA,140,39.2,41.07,164.2579196,205
