"ring_no_lab","year","ring_no","sex","age","totaloff","totalmates","epy","category","totalnest_sum"
"*72","2015",NA,"male",NA,2,1,"0","2males",1
"*73","2015",NA,"male",NA,5,1,"0","2males",2
"*74","2015",NA,"male",NA,2,1,"0","2males",1
"*76","2016",NA,"male",NA,6,1,"0","2males",2
"*77","2016",NA,"male",NA,3,1,"1","3malesENO",2
"*78","2016",NA,"male",NA,6,2,"1","3malesENO",3
"*79","2016",NA,"male",NA,4,1,"1","3malesENO",2
"*80","2016",NA,"male",NA,3,1,"0","2males",1
"*81","2016",NA,"male",NA,3,1,"0","2males",1
"*82","2016",NA,"male",NA,1,1,"0","2males",1
"*83","2016",NA,"male",NA,4,1,"1","3malesENO",2
"*84","2016",NA,"male",NA,2,1,"0","2males",1
"*85","2016",NA,"male",NA,1,1,"0","2males",1
"*86","2016",NA,"male",NA,5,1,"1","3malesENO",2
"*87","2016",NA,"male",NA,3,1,"0","2males",1
"*9","2002",NA,"male",NA,3,1,"0","2males",1
"*90","2016",NA,"male",NA,4,1,"0","2males",1
"*91","2016",NA,"male",NA,3,1,"0","2males",1
"*92","2016",NA,"male",NA,3,1,"0","2males",1
"*93","2016",NA,"male",NA,3,1,"0","2males",1
"*94","2017",NA,"male",NA,2,1,"1","3malesENO",2
"*96","2017",NA,"male",NA,4,1,"0","2males",1
"*97","2017",NA,"male",NA,2,1,"0","2males",1
"*99","2018",NA,"male",NA,2,1,"0","2males",1
"CM05_004","2005","GN 44429","female",NA,5,1,"0","1females",NA
"CM05_007","2005","GN 44428","female","2",4,2,"0","1females",NA
"CM05_011","2005","GN 44431","female","2",3,1,"0","1females",NA
"CM05_016","2005","GN 44437","female","2",7,2,"0","1females",NA
"CM05_019","2005","GN 44443","female","3",4,1,"0","1females",NA
"CM05_024","2005","GN 44444","female","3",4,3,"0","1females",NA
"CM05_027","2005","GN 44448","female","1",4,2,"0","1females",NA
"CM05_029","2005","GN 44451","male","1",3,1,"0","2males",1
"CM05_040","2005","GN 44456","male","2",3,1,"0","2males",1
"CM05_041","2005","GN 44458","female","2",4,2,"0","1females",NA
"CM05_056","2005","GN 44470","male","1",3,1,"0","2males",1
"CM05_057","2005","GN 44471","male","2",3,1,"0","2males",1
"CM05_058","2005","GN 44472","female","2",3,1,"0","1females",NA
"CM05_065","2005","GN 44478","male","1",5,1,"0","2males",2
"CM05_066","2005","GN 44480","male","3",3,1,"0","2males",1
"CM05_083","2005","GN 44491","male","1",4,1,"0","2males",1
"CM05_084","2005","GN 44493","male","1",1,1,"0","2males",1
"CM05_094","2005","GN 52380","male","3",3,1,"0","2males",1
"CM05_110","2005","GN 52355","male","2",4,1,"0","2males",1
"CM05_119","2005","GN 52369","female","2",7,3,"0","1females",NA
"CW13_022","2006","GN 52422","female","1",3,1,"0","1females",NA
"CW13_035","2006","GN 52431","male","1",3,1,"0","2males",1
"CW13_072","2008","GN 52324","female",NA,3,1,"0","1females",NA
"CW13_106","2008","GN 52326","female",NA,3,1,"0","1females",NA
"CW13_107","2008","GN 52327","female",NA,5,2,"0","1females",NA
"CW13_108","2008","GN 52328","female",NA,4,1,"0","1females",NA
"CW13_109","2008","GN 52329","female",NA,2,2,"0","1females",NA
"CW13_117","2008","GN 52337","female",NA,6,4,"0","1females",NA
"CW13_119","2008","GN 52339","male",NA,2,1,"0","2males",1
"CW13_120","2008","GN 52340","male",NA,3,1,"0","2males",1
"CW13_121","2008","GN 52341","female",NA,2,1,"0","1females",NA
"CW13_123","2008","GN 52343","male",NA,3,1,"0","2males",1
"CW13_124","2008","GN 52344","male",NA,3,1,"0","2males",1
"CW13_125","2008","GN 52345","male",NA,1,1,"0","2males",1
"CW13_236","2010","GN 55913","female",NA,11,3,"0","1females",NA
"CW13_246","2010","GN 55929","male",NA,5,1,"0","2males",1
"CW13_248","2010","GN 55934","male","2",5,1,"0","2males",1
"CW13_249","2010","GN 55935","female",NA,4,1,"0","1females",NA
"CW13_250","2010","GN 55941","female",NA,11,4,"0","1females",NA
"CW13_251","2010","GN 55944","male","2",4,1,"0","2males",1
"CW13_252","2010","GN 55950","male","1",6,1,"1","3malesENO",3
"CW13_253","2010","GN 56758","male","1",7,1,"0","2males",2
"CW13_254","2010","GN 56761","female",NA,5,2,"0","1females",NA
"CW13_259","2010","GN 56793","male","3",4,1,"0","2males",1
"CW13_386","2011","GN 56799","female","3",3,1,"0","1females",NA
"CW13_389","2011","GN 56809","male","3",3,1,"0","2males",1
"CW13_392","2011","GN 56814","female","2",8,3,"0","1females",NA
"CW13_401","2011","GN 56838","male",NA,4,1,"0","2males",1
"CW13_403","2011","GN 56858","female",NA,3,1,"0","1females",NA
"CW13_404","2011","GN 56859","male",NA,3,1,"0","2males",1
"CW13_405","2011","GN 56860","female",NA,3,1,"0","1females",NA
"CW13_407","2011","GN 56864","male",NA,2,1,"0","2males",1
"CW13_515","2012","GN 27166","female","2",4,2,"0","1females",NA
"CW13_517","2012","GN 27170","female","3",6,4,"0","1females",NA
"CW13_527","2012","GN 27191","female","2",6,2,"0","1females",NA
"CW13_530","2012","GN 27200","female",NA,3,1,"0","1females",NA
"CW13_531","2012","GN 27259","male",NA,2,1,"0","2males",1
"CW13_532","2012","GN 27272","male","1",3,1,"0","2males",1
"CW13_534","2012","GN 27276","male","1",3,1,"0","2males",1
"CW13_537","2012","GN 27284","male",NA,2,1,"1","3malesENO",2
"CW13_539","2012","GN 27292","female","1",3,1,"0","1females",NA
"CW13_600","2013","GN 56916","male","2",3,1,"0","2males",1
"CW13_601","2013","GN 56917","female","3",3,1,"0","1females",NA
"CW13_604","2013","GN 56922","female",NA,3,1,"0","1females",NA
"CW13_609","2013","GN 56933","female","3",4,1,"0","1females",NA
"CW13_610","2013","GN 56934","female","2",2,1,"0","1females",NA
"CW13_617","2013","GN 56967","male","1",4,1,"0","2males",1
"CW14_134","2014","GN 56969","male","2",3,1,"0","2males",1
"CW14_135","2014","GN 56970","female",NA,10,3,"0","1females",NA
"CW14_138","2014","GN 56972","female","2",3,1,"0","1females",NA
"CW14_139","2014","GN 56973","female","2",13,3,"0","1females",NA
"CW14_141","2014","GN 56975","female","3",7,2,"0","1females",NA
"CW14_142","2014","GN 56976","male","2",4,1,"0","2males",1
"CW14_143","2014","GN 56977","female","2",8,2,"0","1females",NA
"CW14_145","2014","GN 56979","female","2",29,5,"0","1females",NA
"CW14_146","2014","GN 56980","female","3",18,3,"0","1females",NA
"CW14_147","2014","GN 56981","male","1",3,1,"0","2males",1
"CW14_148","2014","GN 56984","male","3",12,1,"1","3malesENO",5
"CW14_149","2014","GN 56985","male","2",8,2,"1","3malesENO",5
"CW14_150","2014","GN 56998","male","2",4,1,"1","3malesENO",2
"CW14_151","2014","GN 76615","male","3",10,2,"1","3malesENO",5
"CW14_152","2014","GN 76618","male","3",11,1,"1","3malesENO",5
"CW14_153","2014","GN 76621","male","2",4,1,"0","2males",1
"CW14_154","2014","GN 76636","male","1",3,1,"0","2males",1
"CW14_155","2014","GN 76638","male","3",7,1,"1","3malesENO",3
"CW14_156","2014","GN 76643","female","2",5,2,"0","1females",NA
"CW14_157","2014","GN 76646","male","2",5,1,"0","2males",2
"CW14_158","2014","GN 76663","male","3",4,1,"0","2males",1
"CW14_159","2014","GN 76678","male","3",3,1,"0","2males",1
"CW15_126","2015","GN 76696","female","2",17,5,"0","1females",NA
"CW15_127","2015","GN 76697","female","3",12,4,"0","1females",NA
"CW15_129","2015","GN 76699","female","2",10,3,"0","1females",NA
"CW15_131","2015","GN 76701","female","1",4,2,"0","1females",NA
"CW15_132","2015","GN 76702","female","1",4,1,"0","1females",NA
"CW15_133","2015","GN 76703","female","2",8,3,"0","1females",NA
"CW15_135","2015","GN 76705","female","3",8,3,"0","1females",NA
"CW15_138","2015","GN 76722","female","3",1,1,"0","1females",NA
"CW15_139","2015","GN 76723","male","2",3,1,"0","2males",1
"CW15_140","2015","GN 76729","male","3",5,1,"1","3malesENO",3
"CW15_141","2015","GN 76744","male","2",6,2,"0","2males",2
"CW15_142","2015","GN 76761","male","1",3,1,"0","2males",1
"CW15_143","2015","GN 76762","male","1",4,2,"0","2males",2
"CW15_143","2016","GN 76762","male",NA,3,1,"0","2males",1
"CW15_144","2015","GN 76766","male","3",4,1,"0","2males",1
"CW15_145","2015","GN 76767","male","3",4,1,"0","2males",1
"CW15_146","2015","GN 76774","male","3",2,1,"0","2males",1
"CW15_147","2015","GN 76784","male","3",6,2,"1","3malesENO",2
"CW15_148","2015","GN 76798","male","3",5,1,"1","3malesENO",3
"CW15_149","2015","GN 76799","male","2",3,1,"0","2males",1
"CW16_096","2016","GN 76829","female","3",20,4,"0","1females",NA
"CW16_097","2016","GN 76846","female","2",13,3,"0","1females",NA
"CW16_098","2016","GN 76855","male","2",4,2,"0","2males",2
"CW16_099","2016","GN 76878","male","2",7,1,"0","2males",2
"CW16_100","2016","GN 76889","male","1",6,1,"1","3malesENO",2
"CW16_101","2016","GN 76907","male","1",7,1,"1","3malesENO",2
"CW16_102","2016","GN 76916","male","3",3,1,"0","2males",1
"CW16_103","2016","GN 76920","male","1",5,1,"1","3malesENO",2
"CW16_104","2016","GN 76935","male","2",1,1,"0","2males",1
"CW16_105","2016","GN 76936","female","3",3,2,"0","1females",NA
"CW17_025","2017","GN 76963","female","3",10,4,"0","1females",NA
"CW17_026","2017","GN 76962","male","3",3,1,"0","2males",1
"CW17_030","2017","GN 76981","male","1",4,1,"1","3malesENO",2
"CW17_031","2017","GN 76985","female","3",7,2,"0","1females",NA
"CW17_032","2017","GN 76986","male","1",4,1,"1","3malesENO",2
"CW17_033","2017","GN 76999","male","1",3,1,"0","2males",2
"CW18_062","2018","GN 90551","female","3",12,2,"0","1females",NA
"CW18_064","2018","GN 90560","female","3",5,3,"0","1females",NA
"CW18_065","2018","GN 90570","male","1",9,1,"1","3malesENO",3
"CW18_066","2018","GN 90575","male","1",4,1,"0","2males",1
"CW18_067","2018","GN 90581","female","2",15,4,"0","1females",NA
"CW18_069","2018","GN 90582","male","3",3,1,"0","2males",1
"CW18_070","2018","GN 90585","male","1",4,1,"1","3malesENO",2
"CW18_071","2018","GN 90590","male","3",4,1,"0","2males",1
"WG06_003","2001","GN 41704","male",NA,3,2,"1","3malesENO",3
"WG06_004","2001","GN 41707","male","1",10,1,"0","2males",3
"WG06_005","2001","GN 41703","female",NA,16,2,"0","1females",NA
"WG06_006","2001","GN 41708","male","2",1,1,"0","2males",1
"WG06_007","2001","GN 41717","female","3",3,1,"0","1females",NA
"WG06_008","2001","GN 41706","male",NA,4,1,"0","2males",1
"WG06_013","2001","GN 41713","male","3",6,1,"1","3malesENO",3
"WG06_017","2001","GN 41701","female","3",5,1,"0","1females",NA
"WG06_021","2002","GN 41724","female",NA,4,1,"0","1females",NA
"WG06_041","2001","GN 41720","male","3",3,1,"0","2males",1
"WG06_052","2001","GN 41734","male","3",3,1,"0","2males",1
"WG06_068","2001","GN 41751","male","3",4,1,"0","2males",1
"WG06_094","2001","GN 41743","female","1",3,1,"0","1females",NA
"WG06_101","2001","GNRH female #3","female",NA,7,4,"0","1females",NA
"WG06_111","2001","GN 41768","male","3",3,2,"1","3malesENO",2
"WG06_115","2001","GN 41762","male","3",3,1,"0","2males",1
"WG06_128","2002","GN 41775","male","1",6,2,"1","3malesENO",2
"WG06_129","2002","GN 41776","female","3",4,1,"0","1females",NA
"WG06_131","2002","GN 41778","female","3",6,2,"0","1females",NA
"WG06_134","2002","GN 41781","female","3",4,1,"0","1females",NA
"WG06_145","2002","GN 41794","male","2",2,1,"1","3malesENO",2
"WG06_146","2002","GN 41795","female","2",6,4,"0","1females",NA
"WG06_147","2002","GN 41796","female","3",3,1,"0","1females",NA
"WG06_148","2002","GN 41797","male","3",3,1,"0","2males",1
"WG06_149","2002","GN 41798","male","1",2,1,"0","2males",1
"WG06_150","2001",NA,"male",NA,5,1,"0","2males",1
"WG06_152","2002","GN 44352","male",NA,4,1,"0","2males",1
"WG06_153","2002","GN 44357","male","3",2,1,"0","2males",1
"WG06_155","2002","GN 44368","male","2",5,2,"1","3malesENO",2
"WG06_157","2002","GN 44373","female","2",6,2,"0","1females",NA
"WG06_158","2002","GN 44376","male","3",4,1,"0","2males",1
"WG06_159","2002","GN 44380","male","3",4,1,"0","2males",1
"WG06_160","2002","GN 44384","male","1",1,1,"0","2males",1
"WG06_161","2002","GN 44393","male","1",3,1,"0","2males",1
"WG06_162","2002","GN 44395","male","2",1,1,"0","2males",1
